Rank,Playcount,Song Name,Song ID,Artist Names,Artist IDs,Album Name,Album ID
67,22,Lemon Tree,27180681,Fool's Garden,92442,Die Ultimative Chartshow (Die Erfolgreichsten One-Hit-Wonder),2592268
68,21,HERE I AM (2v-alk_v),507114418,"R!N/Gemie, SawanoHiroyuki[nZk]","12531080, 1096011",2V-Alk,36030720
69,21,星座になれたら,2003496380,結束バンド,54103171,星座になれたら,155874456
70,21,So Far Away,521416693,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya","780003, 31211, 141813, 12900365",So Far Away,36873174
71,21,My Love,26867112,Westlife,45839,Het Beste Uit De Mega Top 100 '01,2566360
72,21,YOUTH,36668810,Troye Sivan,45129,Blue Neighbourhood (Deluxe),3329047
73,21,Closer,423228325,"The Chainsmokers, Halsey","893484, 964321",Closer,34796273
74,21,Rolling in the Deep,16435051,Adele,46487,Rolling in the Deep,1515350
75,21,China-X,41500546,徐梦圆,1142042,Change,3431123
76,20,MASHUP 2021 “POWER OF YOU“,1906908636,AnDyWuMUSICLAND,11998011,,0
77,20,Treat You Better,415904452,Shawn Mendes,956238,Treat You Better,34726351
78,20,Battle Symphony,460043748,Linkin Park,95439,One More Light,35150852
79,20,Shots (Broiler Remix),31789010,"Broiler, Imagine Dragons","886022, 94779",Shots,3138008
80,20,Havana,494865824,"Camila Cabello, Young Thug","12136039, 287014",Havana,35829532
81,20,Waiting For Love,31356499,"Avicii, Martin Garrix, Simon Aldred","45236, 780003, 13855993",Waiting For Love,3117514
82,19,花は誰のもの?,1931600016,STU48,13057759,花は誰のもの?,142413870
83,19,Feel It,431853284,Axero,1035020,Feel It,34898066
84,19,Heist,35331692,Noisestorm,98081,Heist,3319069
85,19,Telescope,522444650,"Tim Legend, Transviolet","12006158, 1122080",Telescope,36901220
86,19,LOST BOY,37988002,Troye Sivan,45129,Blue Neighbourhood (Deluxe),3329047
87,19,Legend,471411253,The Score,212904,Myths & Legends,35357066
88,19,Viva La Vida,3986017,Coldplay,89365,Viva La Vida or Death and All His Friends,403157
89,19,Best Day Of My Life,27646851,American Authors,762135,American Authors,2646392
90,19,Where The Love Goes,475264163,"Anjulie, Oskar Flood","46502, 14078515",Where The Love Goes,35448092
91,19,Something Just Like This,461347998,"The Chainsmokers, Coldplay","893484, 89365",Something Just Like This,35196287
92,19,Lucky Strike,21253809,Maroon 5,96266,Overexposed (Deluxe Version),1963855
93,19,Life,28830410,Tobu,964486,Life,2901138
94,19,Jackpot,441612737,TheFatRat,1019952,Jackpot,34997198
95,19,Anywhere I Go,420069116,Vicetone,747030,Anywhere I Go,34770055
96,19,Numb,4153366,Linkin Park,95439,Numb,419872
97,19,Walk Away,2529311,Dia Frampton,55454,Red,254624
98,18,Never Gonna Give You Up (2022 Remaster),1925215787,Rick Astley,41993,Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),141281198
99,18,Who Do You Love,1344670477,"The Chainsmokers, 5 Seconds of Summer","893484, 893624",Who Do You Love,75481029
100,18,Chatterbox,427542494,"Fox Stevenson, Mesto","794279, 12007184",Chatterbox,34855212
